# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   85       2.986693463510e-10       7.220162083864e-14      -1.788106608862e-12       2.965346407968e-16       1.550022444149e-11       1.960507132965e-12      -8.141799580174e-15 
   86       3.023530924491e-10       7.424637248044e-14      -1.867335627682e-12       3.035976269627e-16       1.505397933167e-11       1.913786386314e-12      -8.044077748064e-15 
   87       3.060686052348e-10       7.629844498105e-14      -1.947531146359e-12       3.107449186007e-16       1.462467101866e-11       1.868706915548e-12      -7.954595350817e-15 
   88       3.098149496269e-10       7.835584470855e-14      -2.028636687991e-12       3.179762971400e-16       1.421060400474e-11       1.825118210180e-12      -7.872703801377e-15 
   89       3.135912049291e-10       8.041658013477e-14      -2.110594750168e-12       3.252916410375e-16       1.381016609632e-11       1.782875425261e-12      -7.797654647231e-15 
   90       3.173975701689e-10       8.247889778261e-14      -2.193349779688e-12       3.326913046237e-16       1.342313767216e-11       1.741959323247e-12      -7.728689028479e-15 
   91       3.212344069169e-10       8.454108203293e-14      -2.276845666627e-12       3.401757978737e-16       1.304956747668e-11       1.702373117061e-12      -7.664954041536e-15 
   92       3.251018939265e-10       8.660138430701e-14      -2.361024864186e-12       3.477456735492e-16       1.268937027263e-11       1.664105492575e-12      -7.605470449065e-15 
   93       3.290000182750e-10       8.865802340543e-14      -2.445828402688e-12       3.554015283963e-16       1.234232151637e-11       1.627130029770e-12      -7.549128630351e-15 
   94       3.329285665039e-10       9.070918584705e-14      -2.531195903590e-12       3.631440043422e-16       1.200805203315e-11       1.591404623896e-12      -7.494684531672e-15 
   95       3.368871157601e-10       9.275302620791e-14      -2.617065593482e-12       3.709737896917e-16       1.168604269235e-11       1.556870906629e-12      -7.440755616664e-15 
   96       3.408750249362e-10       9.478766746020e-14      -2.703374318099e-12       3.788916203252e-16       1.137561908281e-11       1.523453667238e-12      -7.385816816699e-15 
   97       3.448914258116e-10       9.681120131115e-14      -2.790057556320e-12       3.868982808947e-16       1.107594618807e-11       1.491060273735e-12      -7.328196481249e-15 
   98       3.489352141930e-10       9.882168854203e-14      -2.877049434178e-12       3.949946060218e-16       1.078602306166e-11       1.459580094046e-12      -7.266072328261e-15 
   99       3.530053280397e-10       1.008171893685e-13      -2.964283328704e-12       4.031814482207e-16       1.050491226839e-11       1.428911055428e-12      -7.197925250613e-15 
  100       3.571016459380e-10       1.027958586960e-13      -3.051693746789e-12       4.114595739000e-16       1.023247679960e-11       1.399044866425e-12      -7.123982831704e-15 
  101       3.612242000220e-10       1.047558650488e-13      -3.139214739703e-12       4.198297547855e-16       9.968738129467e-12       1.369992846718e-12      -7.044973719595e-15 
  102       3.653728950302e-10       1.066953624463e-13      -3.226779357884e-12       4.282928006635e-16       9.713648313094e-12       1.341759619009e-12      -6.961689492815e-15 
  103       3.695475029249e-10       1.086124911060e-13      -3.314319672088e-12       4.368495601740e-16       9.467087507465e-12       1.314342859135e-12      -6.874986160498e-15 
  104       3.737476575112e-10       1.105053781457e-13      -3.401766794553e-12       4.455009216048e-16       9.228861492353e-12       1.287733046174e-12      -6.785785662527e-15 
