# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  112       4.078424772458e-10       1.241596154530e-13      -4.093940569304e-12       0.000000000000e+00       7.577167862782e-12       1.100534496611e-12      -6.108766240074e-15 
  113       4.122392906760e-10       1.257444580174e-13      -4.177586231721e-12       0.000000000000e+00       7.397191805753e-12       1.079935295033e-12      -6.040175860133e-15 
  114       4.166548542690e-10       1.272870442857e-13      -4.260427545931e-12       0.000000000000e+00       7.222733463375e-12       1.059932003381e-12      -5.975379093968e-15 
  115       4.210885093552e-10       1.287858041083e-13      -4.342391864090e-12       0.000000000000e+00       7.053715191450e-12       1.040517259590e-12      -5.914111657091e-15 
  116       4.255394899120e-10       1.302391870479e-13      -4.423406152853e-12       0.000000000000e+00       6.890021649864e-12       1.021679422263e-12      -5.856071599849e-15 
  117       4.300069191369e-10       1.316456635827e-13      -4.503397021062e-12       0.000000000000e+00       6.731498684790e-12       1.003402442008e-12      -5.800918315808e-15 
  118       4.344898060196e-10       1.330037263114e-13      -4.582290747419e-12       0.000000000000e+00       6.577952210883e-12       9.856657327806e-13      -5.748271550147e-15 
  119       4.389870419148e-10       1.343118911560e-13      -4.660013308176e-12       0.000000000000e+00       6.429147093482e-12       9.684440432245e-13      -5.697710408036e-15 
  120       4.434973971145e-10       1.355686985668e-13      -4.736490404809e-12       0.000000000000e+00       6.284806030810e-12       9.517073280110e-13      -5.648772363029e-15 
  121       4.480195174208e-10       1.367727147256e-13      -4.811647491705e-12       0.000000000000e+00       6.144608436170e-12       9.354206191806e-13      -5.600952265448e-15 
  122       4.525519207184e-10       1.379225327499e-13      -4.885409803841e-12       0.000000000000e+00       6.008189320149e-12       9.195438974831e-13      -5.553701350774e-15 
  123       4.570931771909e-10       1.390168198004e-13      -4.957703289352e-12       0.000000000000e+00       5.875218075527e-12       9.040405568168e-13      -5.506522780152e-15 
  124       4.616424807152e-10       1.400544619663e-13      -5.028457469581e-12       0.000000000000e+00       5.745647461463e-12       8.889041726656e-13      -5.459272802188e-15 
  125       4.661991369563e-10       1.410344383712e-13      -5.097602961295e-12       0.000000000000e+00       5.619491249689e-12       8.741345807208e-13      -5.411892481517e-15 
  126       4.707623836409e-10       1.419557783092e-13      -5.165070635671e-12       0.000000000000e+00       5.496746399691e-12       8.597294988023e-13      -5.364314035850e-15 
  127       4.753313885746e-10       1.428175628101e-13      -5.230791653098e-12       0.000000000000e+00       5.377392569561e-12       8.456844658083e-13      -5.316460603856e-15 
  128       4.799052476591e-10       1.436189262049e-13      -5.294697497975e-12       0.000000000000e+00       5.261391626862e-12       8.319927806644e-13      -5.268246013045e-15 
  129       4.844829829103e-10       1.443590576900e-13      -5.356720013516e-12       0.000000000000e+00       5.148687159485e-12       8.186454412736e-13      -5.219574547655e-15 
  130       4.890635404748e-10       1.450372028934e-13      -5.416791436548e-12       0.000000000000e+00       5.039203986513e-12       8.056310834657e-13      -5.170340716534e-15 
  131       4.936457886481e-10       1.456526654389e-13      -5.474844432313e-12       0.000000000000e+00       4.932847669075e-12       7.929359199467e-13      -5.120429021026e-15 
  132       4.982285158917e-10       1.462048085118e-13      -5.530812129269e-12       0.000000000000e+00       4.829504021207e-12       7.805436792486e-13      -5.069713722854e-15 
  133       5.028104288505e-10       1.466930564235e-13      -5.584628153890e-12       0.000000000000e+00       4.729038620716e-12       7.684355446786e-13      -5.018058612005e-15 
  134       5.073901503701e-10       1.471168961772e-13      -5.636226665469e-12       0.000000000000e+00       4.631296320035e-12       7.565900932691e-13      -4.965316774616e-15 
  135       5.119662175144e-10       1.474758790324e-13      -5.685542390917e-12       0.000000000000e+00       4.536100757084e-12       7.449832347269e-13      -4.911330360854e-15 
  136       5.165370795833e-10       1.477696220704e-13      -5.732510659565e-12       0.000000000000e+00       4.443253866130e-12       7.335881503827e-13      -4.855930352807e-15 
  137       5.211012320366e-10       1.479978376680e-13      -5.777068052806e-12       0.000000000000e+00       4.352577918145e-12       7.223813046213e-13      -4.798984062959e-15 
  138       5.256576381066e-10       1.481604220483e-13      -5.819154355217e-12       0.000000000000e+00       4.264047587108e-12       7.113613104663e-13      -4.740543668247e-15 
  139       5.302053472579e-10       1.482573789031e-13      -5.858710872261e-12       0.000000000000e+00       4.177670686007e-12       7.005319095243e-13      -4.680712677643e-15 
  140       5.347433620853e-10       1.482887940327e-13      -5.895679871908e-12       0.000000000000e+00       4.093446646380e-12       6.898960523691e-13      -4.619599650838e-15 
  141       5.392706371939e-10       1.482548370877e-13      -5.930004623335e-12       0.000000000000e+00       4.011366299121e-12       6.794558760340e-13      -4.557318269084e-15 
  142       5.437860780790e-10       1.481557633119e-13      -5.961629435633e-12       0.000000000000e+00       3.931411655279e-12       6.692126815051e-13      -4.493987406034e-15 
